Date,Load,temp
1/1/14 0:00,9891,59.4685
1/1/14 1:00,9553,61.403
1/1/14 2:00,9222,55.031
1/1/14 3:00,9024,53.1878
1/1/14 4:00,8987,51.9944
1/1/14 5:00,9028,50.045
1/1/14 6:00,9136,48.5402
1/1/14 7:00,8882,47.8121
1/1/14 8:00,9020,46.7744
1/1/14 9:00,9180,46.0895
1/1/14 10:00,9330,46.4684
1/1/14 11:00,9361,45.0743
1/1/14 12:00,9376,43.5353
1/1/14 13:00,9371,42.4067
1/1/14 14:00,9402,42.0575
1/1/14 15:00,9523,40.2881
1/1/14 16:00,9952,44.2085
1/1/14 17:00,11444,50.5211
1/1/14 18:00,11766,57.8012
1/1/14 19:00,11678,63.599
1/1/14 20:00,11451,66.9929
1/1/14 21:00,11116,68.9351
1/1/14 22:00,10408,67.7426
1/1/14 23:00,9653,68.5652
1/2/14 0:00,9191,68
1/2/14 1:00,8860,61.5641
1/2/14 2:00,8682,57.2234
1/2/14 3:00,8676,54.9374
1/2/14 4:00,8917,54.9734
1/2/14 5:00,9553,53.7971
1/2/14 6:00,10236,53.0726
1/2/14 7:00,10666,50.6543
1/2/14 8:00,11157,52.0916
1/2/14 9:00,11458,52.1429
1/2/14 10:00,11673,51.3779
1/2/14 11:00,11712,51.5453
1/2/14 12:00,11772,51.1187
1/2/14 13:00,11710,49.6157
1/2/14 14:00,11708,47.1191
1/2/14 15:00,11699,47.5241
1/2/14 16:00,11893,51.7937
1/2/14 17:00,13016,61.7459
1/2/14 18:00,13142,68.6147
1/2/14 19:00,12868,73.7573
1/2/14 20:00,12526,74.1119
1/2/14 21:00,11983,74.7374
1/2/14 22:00,11091,74.7302
1/2/14 23:00,10246,73.0967
1/3/14 0:00,9592,71.1401
1/3/14 1:00,9179,66.407
1/3/14 2:00,8934,62.6225
1/3/14 3:00,8845,58.5662
1/3/14 4:00,9057,58.037
1/3/14 5:00,9525,55.895
1/3/14 6:00,10423,54.4388
1/3/14 7:00,10820,52.6919
1/3/14 8:00,11201,50.945
1/3/14 9:00,11534,49.0217
1/3/14 10:00,11694,47.912
1/3/14 11:00,11674,46.5701
1/3/14 12:00,11626,45.1067
1/3/14 13:00,11611,44.0636
1/3/14 14:00,11557,43.8935
1/3/14 15:00,11510,44.1869
1/3/14 16:00,11693,47.7023
1/3/14 17:00,12869,54.4118
1/3/14 18:00,12956,60.6884
1/3/14 19:00,12803,66.2648
1/3/14 20:00,12489,66.9848
1/3/14 21:00,12076,68.7821
1/3/14 22:00,11276,67.1711
1/3/14 23:00,10390,66.6527
1/4/14 0:00,9718,64.049
1/4/14 1:00,9306,58.5032
1/4/14 2:00,9061,54.7934
1/4/14 3:00,8943,53.8484
1/4/14 4:00,8994,53.6576
1/4/14 5:00,9251,53.2643
1/4/14 6:00,9657,52.3346
1/4/14 7:00,9741,51.5975
1/4/14 8:00,10032,50.8685
1/4/14 9:00,10267,49.7948
1/4/14 10:00,10334,50.1755
1/4/14 11:00,10283,48.0164
1/4/14 12:00,10205,48.3458
1/4/14 13:00,10089,48.6221
1/4/14 14:00,10044,48.3341
1/4/14 15:00,10078,46.5467
1/4/14 16:00,10305,48.2288
1/4/14 17:00,11686,52.9106
1/4/14 18:00,11962,59.0693
1/4/14 19:00,11846,63.0734
1/4/14 20:00,11593,65.3684
1/4/14 21:00,11151,66.4646
1/4/14 22:00,10478,67.5446
1/4/14 23:00,9746,66.1901
1/5/14 0:00,9250,65.1704
1/5/14 1:00,8858,60.1592
1/5/14 2:00,8602,56.0426
1/5/14 3:00,8462,53.7224
1/5/14 4:00,8467,52.6478
1/5/14 5:00,8653,51.9962
1/5/14 6:00,8991,49.7165
1/5/14 7:00,9026,48.7535
1/5/14 8:00,9289,47.8715
1/5/14 9:00,9506,46.6376
1/5/14 10:00,9656,46.7744
1/5/14 11:00,9722,47.4962
1/5/14 12:00,9775,47.9363
1/5/14 13:00,9786,47.7185
1/5/14 14:00,9794,45.9374
1/5/14 15:00,9872,47.7608
1/5/14 16:00,10215,51.7028
1/5/14 17:00,11634,59.3897
1/5/14 18:00,12019,66.038
1/5/14 19:00,11892,69.3905
1/5/14 20:00,11644,71.3336
